StudySite,Latitude,Longitude,Longitude.UTM,Latitude.UTM,habitat.type,dominant.tree,height.cm,angle,detect.obscured,cover.ground,termite.count.100m,termite.count.50m,termite.large.count.100m,termite.large.count.50m,habitat.number,tree,termites,fire.interval,poaching.all,poaching.high,boundary.distance,road.distance,road.major.distance,urema.distance,pan.distance,river.distance,settlement.distance,tree.100m,tree.250m,tree.500m,tree.1km,termites.100m,termites.250m,termites.500m,termites.1km,fire2015.date,fire2016.date,fire2017.date,pans.100m,pans.250m,pans.500m,tree.hansen,lion.dry,lion.wet,panscon.250m,poaching,panscon.offflood.250
A06,-18.94847,34.3112,638055.6577,7904361.198,2_OW,CA,-1.261883537,-0.981142889,-0.623505966,-0.715695863,-0.554632246,-0.284463468,-0.436886249,-0.124966636,-0.298988193,-1.20389688,-0.452407181,1.824844599,1.731667876,-0.417812735,-0.598741412,1.538866162,0.878281713,1.681102991,-0.404820979,-0.422805101,-0.420702338,-0.757043362,-1.389611602,-1.76172924,-1.361044765,-0.134728178,-1.005282521,-1.451148748,-1.459284067,0.056499943,NA,NA,-0.251784295,-0.1880707,-0.271184444,-0.365160435,0.365545571,1.046891212,-0.045515176,0.820551813,-0.246277034
A08,-18.97055,34.31128,638045.9089,7901917.535,2.5_OCW,AR,-0.660986615,-0.657689189,-0.623505966,0.058727073,-0.249330092,-0.967175791,-0.139009261,-0.806602832,0.298988193,-0.283197016,2.210397959,0.151716426,-0.577477932,-0.417812735,-1.178166747,-0.642429292,-0.754303753,1.960844398,-0.348182708,-0.14204137,-0.860521913,-0.262021273,-0.439679652,-0.530231118,-0.355741769,0.808252156,0.002929076,0.389310122,0.235886469,0.185804129,NA,NA,-0.251784295,-0.255453706,-0.243467823,1.137363672,-0.082014456,0.22320886,-0.329289377,-0.544090748,-0.246277034
A10,-18.99254,34.3117,638072.0057,7899483.559,4_F,HY,-0.060089692,-0.981142889,1.577103326,1.801178678,-0.8599344,-0.967175791,-0.734763236,-0.806602832,2.092917349,0.916651189,-0.452407181,-1.952914476,-0.577477932,-0.417812735,-1.726400852,-0.825509429,-0.891329646,2.284898043,0.038039286,-1.227416992,-0.856605232,1.595591784,1.533444881,1.626841784,1.254659653,-1.401231289,-1.326045156,-1.831282735,-1.839369655,0.01692028,NA,NA,-0.251784295,-0.288821429,-0.148161769,1.795142531,-0.977134526,0.22320886,-0.329289377,-0.544090748,-0.246277034
B05,-18.9376,34.33081,640129.751,7905548.727,1_SW,mix,0.54080723,0.636125609,-0.623505966,-0.328484395,0.361274215,1.080961178,0.456744715,1.238305756,-1.494940964,-1.20389688,-0.452407181,1.28848958,-0.577477932,-0.417812735,-0.4828614,2.523743629,1.615411043,1.136013031,-0.687127531,-1.20374918,-0.51957202,-1.933756828,-2.059137344,-1.975331903,-1.814264059,-1.282522678,-1.635194778,-1.731969953,-1.598553419,0.072984166,NA,-0.750564754,-0.161114156,-0.243792132,-0.24258627,-1.200633645,-0.977134526,1.046891212,-0.329289377,-0.544090748,-0.246277034
B07,-18.95957,34.33033,640060.8662,7903117.669,1_SW,AR,1.141704153,0.636125609,-0.623505966,1.801178678,0.055972062,1.080961178,0.158867727,1.238305756,-1.494940964,-1.20389688,2.210397959,0.540742338,-0.577477932,-0.417812735,-1.032480717,0.569619656,0.152851462,1.425723433,-0.472056061,-0.107251756,-1.278876424,-1.833810687,-1.654985666,-1.538752437,-0.674101651,-1.102787971,-0.74399215,-0.82606864,-1.066777706,0.144252837,NA,NA,-0.251784295,-0.215649799,-0.238332033,-1.221665502,-0.082014456,-1.012314677,-0.329289377,-0.544090748,-0.246277034
B09,-18.98108,34.33122,640136.5979,7900736.425,2_OW,AR,-0.060089692,-0.01078179,-0.623505966,-0.909301597,3.719597909,2.446385824,3.73339158,2.601578149,-0.298988193,-1.20389688,-0.452407181,0.466020018,-0.577477932,-0.417812735,-1.577982664,-0.076317415,-0.330598742,1.739314675,-0.73940599,-0.933508933,-1.698153019,-1.220443726,-1.305859923,-1.525117159,-0.60254854,-0.634641588,-0.599358618,-0.834709287,-0.461737961,NA,NA,NA,-0.21376133,-0.234658062,-0.268244416,-0.969139278,0.088058352,1.458732367,-0.329289377,-0.544090748,-0.246277034
C06,-18.94877,34.35125,642272.8619,7904296.172,2_OW,HY,0.54080723,-0.01078179,-0.623505966,-0.909301597,-0.249330092,1.080961178,-0.139009261,1.238305756,-0.298988193,-1.184307575,2.210397959,0.814550877,-0.577477932,-0.417812735,-0.878519654,-0.950744867,-0.985061884,0.856272697,-0.668434381,-0.815070093,-1.142145038,-1.393171072,-1.493533134,-1.27435112,-1.420121431,-0.455742866,-0.727452517,-0.568161607,-0.715537488,0.307700574,NA,NA,-0.228385553,-0.1579227,-0.264495075,-0.545695722,-0.977134526,-0.600473464,0.078594111,-0.544090748,0.437293231
C08,-18.97041,34.35071,642197.6499,7901901.671,2_OW,AR,-0.060089692,-0.657689189,-0.623505966,-0.715695863,0.055972062,1.080961178,0.158867727,1.238305756,-0.298988193,-1.20389688,2.210397959,-0.088240318,-0.577477932,-0.417812735,-1.458291411,-0.416336685,-0.585085273,1.20976603,-0.198706552,-0.69663173,-2.033930302,-0.673074067,-0.795581281,-0.82276237,-0.874064684,0.299979031,0.144571349,0.285895675,0.101779699,0.230508104,NA,NA,-0.251784295,-0.221148163,-0.265274465,0.109330274,0.813105583,1.046891212,-0.01465557,-0.544090748,0.281016499
D03,-18.91569,34.36975,644249.4186,7907942.181,2_OW,HY,1.141704153,-0.33423549,-0.623505966,0.833150008,-0.8599344,-0.284463468,-0.734763236,-0.124966636,-0.298988193,-0.126482099,-0.452407181,-0.691929221,-0.577477932,-0.417812735,0.059195213,-1.028224587,-1.043051362,0.05143417,-0.918392658,-1.784127116,0.323730946,0.566915929,-0.489579499,-1.273888469,-1.776847601,-1.127031207,-1.490913272,-1.59098506,-2.165189028,NA,NA,NA,0.121817127,0.044080429,0.019862264,-0.455457628,2.155785561,1.870573521,-0.02203504,-0.544090748,-0.246277034
D05,-18.93763,34.37036,644294.8273,7905513.538,2.5_OCW,mix,-1.261883537,0.959579309,1.577103326,0.833150008,0.971878523,1.763673501,1.05249869,1.919941953,0.298988193,-1.20389688,-0.452407181,-0.949027717,-0.577477932,-0.417812735,-0.504687905,-0.115697034,-0.360072225,0.318214834,-0.697897077,-1.116482615,-0.521560133,-0.642207682,-0.817434788,-0.826678693,-0.887533307,0.307502776,0.00398467,-0.151824325,0.10966824,NA,NA,NA,-0.220570207,-0.247634694,-0.233817682,-0.464808762,-0.977134526,-0.794038832,-0.329289377,-0.544090748,-0.246277034
